band_name,fans,formed,origin,split,style,soup
Vesperia,6,2005,Canada,-,Black Symphonic folk Celtic death,Black Symphonic folk Celtic death Canada
Vexillum,6,2004,Italy,2004,Melodic power Folk,Melodic power Folk Italy
Vulvodynia,6,2014,South Africa,-,Brutal death Deathcore,Brutal death Deathcore South Africa
We Are The Catalyst,6,2012,Sweden,2012,Alternative,Alternative Sweden
Where Angels Fall,6,2003,Norway,-,Gothic,Gothic Norway
WHOURKR,6,2005,France,2005,Experimental death Cybergrind,Experimental death Cybergrind France
Winterdome,6,1996,Germany,-,Folk,Folk Germany
Wishdoom,6,2007,Greece,2007,Heavy Doom,Heavy Doom Greece
Witchsorrow,6,2005,United Kingdom,-,Doom,Doom United Kingdom
Yorblind,6,2002,France,2002,Gothenburg,Gothenburg France
Yyl,6,2014,France,-,Industrial Post-metal Progressive,Industrial Post-metal Progressive France
11 As In Adversaries,5,2010,France,2010,Extreme avantgarde,Extreme avantgarde France
A Loathing Requiem,5,2007,USA,-,Technical death,Technical death USA
A Night In Texas,5,2010,Australia,2010,Technical deathcore,Technical deathcore Australia
Abhorrence,5,1989,Finland,-,Death,Death Finland
Abstrakt Algebra,5,1995,Sweden,1995,Doom Heavy,Doom Heavy Sweden
Adamantine,5,2006,Portugal,-,Melodic thrash,Melodic thrash Portugal
Altar Of Betelgeuze,5,2010,Finland,2010,Death doom Stoner,Death doom Stoner Finland
Ancient Ceremony,5,1989,Germany,2005,Melodic black,Melodic black Germany
Anguish,5,2007,Sweden,2007,Doom,Doom Sweden
Apati,5,2008,Sweden,2011,Depressive black,Depressive black Sweden
Apotheosis,5,1993,Malta,1993,Symphonic black Thrash,Symphonic black Thrash Malta
Arachnes,5,1995,Italy,-,Power,Power Italy
Asgaroth,5,1995,Spain,1995,Melodic black Doom,Melodic black Doom Spain
Astral Domine,5,2011,Italy,-,Symphonic power,Symphonic power Italy
At War,5,1983,USA,1983,Speed Thrash,Speed Thrash USA
Auroch,5,2006,Canada,-,Thrash Blackened death,Thrash Blackened death Canada
Author & Punisher,5,2004,USA,2004,Industrial doom Drone,Industrial doom Drone USA
Autokrator,5,2014,France,-,Industrial death Drone,Industrial death Drone France
Autolatry,5,2009,USA,2009,Melodic black Progressive black,Melodic black Progressive black USA
Avsky,5,2002,Sweden,-,Black,Black Sweden
Balance Of Power,5,1995,United Kingdom,1995,Progressive,Progressive United Kingdom
Beautality,5,2009,United Kingdom,-,Atmospheric black Progressive black,Atmospheric black Progressive black United Kingdom
Black Oath,5,2006,Italy,2006,Doom,Doom Italy
Blacklodge,5,1998,France,-,Industrial black,Industrial black France
Blasphemophagher,5,2002,Italy,2002,Black Death,Black Death Italy
Blood Farmers,5,1989,USA,-,Doom,Doom USA
Bloodway,5,2013,Romania,2013,Progressive black,Progressive black Romania
Bombs Of Hades,5,2002,Sweden,-,Death,Death Sweden
Chain Collector,5,2003,Norway,2003,Melodic death,Melodic death Norway
Chainsaw,5,1997,Poland,-,Heavy Power,Heavy Power Poland
Changer,5,1999,Iceland,1999,Thrash Death,Thrash Death Iceland
Chrch,5,2015,USA,-,Doom Sludge,Doom Sludge USA
Cold Cell,5,2012,Switzerland,2012,Black,Black Switzerland
Continuo Renacer,5,1994,Spain,-,Technical death Progressive Instrumental,Technical death Progressive Instrumental Spain
Corelia,5,2010,USA,2010,Progressive,Progressive USA
Corpus Mortale,5,1993,Denmark,-,Brutal death,Brutal death Denmark
Cretin,5,1992,USA,1992,Death Grindcore,Death Grindcore USA
Crown Of Autumn,5,1996,Italy,-,Gothic,Gothic Italy
Cult Of Daath,5,1999,USA,1999,Black,Black USA
Cut Up,5,2014,Sweden,-,Death,Death Sweden
Détente,5,1984,USA,1984,Speed Thrash,Speed Thrash USA
D.C. Cooper,5,1998,USA,-,Progressive,Progressive USA
Dark Sermon,5,2009,USA,2009,Death Deathcore,Death Deathcore USA
Dark Tribe,5,1997,Germany,2015,Black,Black Germany
Darkmoon,5,1997,Switzerland,1997,Extreme gothic Melodic death Black Thrash,Extreme gothic Melodic death Black Thrash Switzerland
Dauntless,5,1991,Finland,-,Thrash Death,Thrash Death Finland
Dead Summer Society,5,2010,Italy,2010,Gothic doom,Gothic doom Italy
Decrepitaph,5,2005,USA,-,Death,Death USA
Deep-Pression,5,2006,Poland,2006,Black Doom,Black Doom Poland
Deluge,5,2013,France,-,Black Post-metal Hardcore,Black Post-metal Hardcore France
Denouncement Pyre,5,2003,Australia,2003,Black Death,Black Death Australia
Derelict Earth,5,2009,France,-,Extreme progressive,Extreme progressive France
Devious,5,1998,The Netherlands,1998,Death,Death The Netherlands
Die Like Gentlemen,5,2012,USA,-,Progressive sludge,Progressive sludge USA
Distress,5,1996,France,1996,Death doom Gothic doom Progressive doom,Death doom Gothic doom Progressive doom France
Divercia,5,1998,Finland,-,Suomi,Suomi Finland
Drawn And Quartered,5,1993,USA,1993,Death,Death USA
Drottnar,5,1996,Norway,-,Death Black Technical black,Death Black Technical black Norway
Dystera,5,2006,Switzerland,2006,Symphonic power,Symphonic power Switzerland
Dystopia,5,2003,Hungary,-,Progressive heavy,Progressive heavy Hungary
Dystopia Nå!,5,2010,Norway,2010,Depressive black,Depressive black Norway
Eccentric Pendulum,5,2008,India,-,Progressive,Progressive India
Eciton,5,2000,Denmark,2000,Death,Death Denmark
Ego Depths,5,2007,"Ukraine, Canada",-,Funeral doom,Funeral doom Ukraine Canada
Elite,5,2001,Norway,2001,Black,Black Norway
Elvenpath,5,2001,Germany,-,Power,Power Germany
Elyose,5,2009,France,2009,Industrial Gothic,Industrial Gothic France
Empty Tremor,5,1993,Italy,-,Progressive,Progressive Italy
Enabler,5,2010,USA,2010,Hardcore Metalcore Punk,Hardcore Metalcore Punk USA
Encoffination,5,2008,USA,-,Death doom,Death doom USA
End Of Aeon,5,2011,Finland,2011,Death doom Melodic death,Death doom Melodic death Finland
Episode 13,5,2001,Turkey,-,Black,Black Turkey
Epoch Of Unlight,5,1990,USA,1990,Black Death,Black Death USA
Esoterica,5,2011,USA,2016,Black,Black USA
Estertor,5,1996,Bolivia,1996,Melodic death Doom,Melodic death Doom Bolivia
Eternal Elysium,5,1991,Japan,-,Psychedelic doom Stoner,Psychedelic doom Stoner Japan
Eternity's End,5,2014,Germany,2014,Progressive Power,Progressive Power Germany
Euphoric Defilement,5,2009,USA,-,Brutal death,Brutal death USA
Exiled From Light,5,2007,New Zealand,2007,Depressive black,Depressive black New Zealand
Fifth To Infinity,5,1997,Sweden,-,Black Death,Black Death Sweden
For Selena And Sin,5,2004,Finland,2004,Gothic Suomi,Gothic Suomi Finland
Force Of Evil,5,2002,Denmark,-,Heavy,Heavy Denmark
Genius: A Rock Opera,5,2002,Italy,2002,Symphonic power,Symphonic power Italy
Goat The Head,5,2002,Norway,-,Death,Death Norway
Godiva,5,2001,Switzerland,2001,Heavy,Heavy Switzerland
Grá,5,2010,Sweden,-,Black,Black Sweden
Grey Skies Fallen,5,1997,USA,1997,Melodic death Progressive,Melodic death Progressive USA
Hades,5,1992,Norway,1998,Black,Black Norway
Hadriel,5,2007,Sweden,2007,Progressive doom,Progressive doom Sweden
Haiduk,5,2009,Canada,-,Melodic death Thrash Brutal death,Melodic death Thrash Brutal death Canada
Hail!Hornet,5,2006,USA,2006,Sludge,Sludge USA
Hate Meditation,5,2003,USA,-,Black,Black USA
Hatred,5,1998,Germany,1998,Thrash,Thrash Germany
Heavy Lord,5,2002,The Netherlands,-,Doom Sludge,Doom Sludge The Netherlands
Herder,5,2010,The Netherlands,2010,Sludge Stoner,Sludge Stoner The Netherlands
Hideous Divinity,5,2007,Italy,-,Brutal death Technical death,Brutal death Technical death Italy
Iconocaust,5,2005,USA,2005,Death Thrash,Death Thrash USA
Ilium,5,1998,Australia,-,Power,Power Australia
Illuminati,5,2008,Romania,2008,Progressive thrash Technical death,Progressive thrash Technical death Romania
InAeona,5,2009,USA,-,Progressive,Progressive USA
Inhume,5,1994,The Netherlands,1994,Brutal death Grindcore,Brutal death Grindcore The Netherlands
Just Before Dawn,5,2012,Sweden,-,Death,Death Sweden
Kalidia,5,2010,Italy,2010,Symphonic power,Symphonic power Italy
Kataplexia,5,2002,Finland,-,Brutal death,Brutal death Finland
Kick Axe,5,1976,Canada,1976,Glam Heavy,Glam Heavy Canada
Krv,5,2003,Bosnia and Herzegovina,2010,Black,Black Bosnia and Herzegovina
Lantern,5,2007,Finland,2007,Death,Death Finland
Lecherous Nocturne,5,1997,USA,-,Brutal death Technical death,Brutal death Technical death USA
Lethal,5,1982,USA,1982,Us power,Us power USA
Lords Of The Trident,5,2008,USA,-,Heavy,Heavy USA
Louna,5,2008,Russia,2008,Nu Alternative rock,Nu Alternative rock Russia
Maim,5,2006,Sweden,-,Death,Death Sweden
Manic Movement,5,1993,Belgium,1993,Death Symphonic,Death Symphonic Belgium
Manii,5,2011,Norway,-,Depressive black,Depressive black Norway
Marshall Law,5,1988,United Kingdom,1988,Heavy Power,Heavy Power United Kingdom
Mendel,5,2011,The Netherlands,-,Progressive Instrumental,Progressive Instrumental The Netherlands
Mephorash,5,2010,Sweden,2010,Black,Black Sweden
Moonreich,5,2008,France,2008,Black,Black France
More,5,1979,United Kingdom,2000,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Mutilation Rites,5,2009,USA,2009,Black,Black USA
My Enchantment,5,2000,Portugal,-,Black,Black Portugal
Myraeth,5,2009,Australia,2009,Death doom Gothic,Death doom Gothic Australia
Névoa,5,2014,Portugal,-,Atmospheric black,Atmospheric black Portugal
Nitro,5,1987,USA,1987,Heavy Glam,Heavy Glam USA
Noein,5,2007,France,-,Industrial death,Industrial death France
Nontinuum,5,2010,Australia,2010,Atmospheric black Depressive black,Atmospheric black Depressive black Australia
Noothgrush,5,1994,USA,-,Doom Sludge,Doom Sludge USA
Noturna,5,2002,Brazil,2002,Gothic Progressive,Gothic Progressive Brazil
Noveria,5,2014,Italy,-,Power,Power Italy
Nox,5,2003,The Netherlands,2003,Death,Death The Netherlands
Obsidian Tongue,5,2009,USA,-,Atmospheric black,Atmospheric black USA
Odraza,5,2009,Poland,2009,Black,Black Poland
One Machine,5,2008,USA,-,Progressive thrash,Progressive thrash USA
Opus Doria,5,2009,France,2009,Symphonic power,Symphonic power France
Overlorde,5,1985,USA,-,Us power,Us power USA
Parasitic Extirpation,5,2007,USA,2007,Brutal death Technical death,Brutal death Technical death USA
Pariah,5,1988,United Kingdom,1998,Power Thrash,Power Thrash United Kingdom
Pestilential Shadows,5,2003,Australia,2003,Black,Black Australia
Phoenix Rising,5,2007,Spain,-,Symphonic power,Symphonic power Spain
Pictures Of Pain,5,2004,Norway,2004,Extreme progressive,Extreme progressive Norway
Profundi,5,2006,Sweden,-,Black,Black Sweden
Pulse Of Nebulae,5,2013,Latvia,2013,Progressive death,Progressive death Latvia
Radigost,5,1994,Russia,-,Doom Black,Doom Black Russia
Raging Speedhorn,5,1998,United Kingdom,1998,Nu,Nu United Kingdom
Raise Hell,5,1996,Sweden,-,Black Thrash,Black Thrash Sweden
Reciprocal,5,2007,USA,2007,Technical death Brutal death,Technical death Brutal death USA
Resistance,5,1987,USA,-,Thrash Progressive Heavy Us power,Thrash Progressive Heavy Us power USA
Reverence (USA),5,2010,USA,2010,Progressive power,Progressive power USA
Rising,5,2008,Denmark,-,Sludge,Sludge Denmark
Rising Dream,5,2004,Croatia,2004,Heavy Extreme power Power,Heavy Extreme power Power Croatia
Ruthless,5,1982,USA,-,Heavy Us power,Heavy Us power USA
Sammath,5,1994,The Netherlands,1994,Black,Black The Netherlands
Scythian,5,2004,United Kingdom,-,Blackened death Thrash,Blackened death Thrash United Kingdom
Senmuth,5,2004,Russia,2004,Ambient  Doom Electronica Experimental  Industrial,Ambient  Doom Electronica Experimental  Industrial Russia
Serpentine Path,5,2011,USA,-,Death Doom,Death Doom USA
Six Degrees Of Separation,5,1996,Czech Republic,1996,Doom,Doom Czech Republic
Skogmark,5,2012,Russia,-,Atmospheric black,Atmospheric black Russia
Skumring,5,2004,Norway,2004,Doom,Doom Norway
Slivers Of Silence,5,2008,Finland,-,Melodic death,Melodic death Finland
Solbrud,5,2009,Denmark,2009,Atmospheric black,Atmospheric black Denmark
Somnus Aeternus,5,2007,Czech Republic,-,Death doom Gothic,Death doom Gothic Czech Republic
Soulmass,5,2013,USA,2013,Death,Death USA
Spelljammer,5,2007,Sweden,-,Stoner Doom,Stoner Doom Sweden
Spoil Engine,5,2004,Belgium,2004,Melodic death Metalcore,Melodic death Metalcore Belgium
Stillborn,5,2000,Malta,-,Symphonic,Symphonic Malta
Svartahrid,5,1994,Norway,1994,Black,Black Norway
Sweet Savage,5,1979,United Kingdom,-,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Sweet Sorrow,5,1996,Slovenia,1996,Heavy Melodic death,Heavy Melodic death Slovenia
Syrach,5,1993,Norway,-,Doom,Doom Norway
Taatsi,5,2013,Finland,2013,Atmospheric black,Atmospheric black Finland
Tacit Fury,5,2001,Russia,-,Symphonic death Doom Death,Symphonic death Doom Death Russia
